,Date,Team,Acquired,Relinquished,Notes
44,2003-10-27,Hornets,,Courtney Alexander,placed on IL with torn right Achilles tendon
45,2003-10-27,Hornets,,Jamal Mashburn,placed on IL with bone bruise in right knee
46,2003-10-27,Hornets,,James Lang,placed on IL with back spasms
47,2003-10-27,Jazz,,Curtis Borchardt,placed on IL with fractured left index finger
48,2003-10-27,Jazz,,Michael Ruffin,placed on IL with abdominal strain
49,2003-10-27,Kings,,Chris Webber,placed on IL recovering from surgery on left knee
50,2003-10-27,Kings,,Lawrence Funderburke,placed on IL with left Achilles tendinitis
51,2003-10-27,Knicks,,Antonio McDyess,placed on IL recovering from surgery on left knee
52,2003-10-27,Knicks,,Maciej Lampe,placed on IL with shin splints
53,2003-10-27,Knicks,,Slavko Vranes,placed on IL with right knee patella tendinitis
54,2003-10-27,Lakers,,Brian Cook,placed on IL recovering from surgery on left ring finger
55,2003-10-27,Lakers,,Jamal Sampson,placed on IL
56,2003-10-27,Lakers,,Rick Fox,placed on IL recovering from surgery on left foot
57,2003-10-27,Magic,,Grant Hill,placed on IL
58,2003-10-27,Magic,,Keith Bogans,placed on IL
59,2003-10-27,Magic,,Pat Garrity,placed on IL with torn ACL in knee (out indefinitely)
60,2003-10-27,Mavericks,,Jon Stefansson,placed on IL with sprained left ankle
61,2003-10-27,Mavericks,,Olivier Saint-Jean,placed on IL with left knee tendinitis
62,2003-10-27,Nets,,Damone Brown,placed on IL with back spasms
63,2003-10-27,Nets,,Lucious Harris,placed on IL with sore lower back
64,2003-10-27,Nets,,Tamar Slay,placed on IR with bruised left shin
65,2003-10-27,Nuggets,,Chris Marcus,placed on IL with sprained left foot and ankle
66,2003-10-27,Nuggets,,Jeff Trepagnier,placed on IL with sprained left ankle
67,2003-10-27,Nuggets,,Mark Pope,placed on IL with left knee patella tendinitis
68,2003-10-27,Pacers,,James Jones ,placed on IL with hamstring injury
69,2003-10-27,Pacers,,Jamison Brewer,placed on IL with sprained toe
70,2003-10-27,Pacers,,Jonathan Bender,placed on IL recovering from surgery on left knee
71,2003-10-27,Pistons,,Darvin Ham,placed on IL with sprained right wrist
72,2003-10-27,Pistons,,Hubert Davis,placed on IL with strained left hamstring
73,2003-10-27,Raptors,,Eric Montross,placed on IL
74,2003-10-27,Raptors,,Michael Bradley,placed on IL with right knee tendinitis
75,2003-10-27,Raptors,,Rick Brunson,placed on IL with bruised left quadriceps
76,2003-10-27,Rockets,,Adrian Griffin,placed on IL recovering from surgery on right knee
77,2003-10-27,Rockets,,Ben Davis,placed on IL with knee surgery
78,2003-10-27,Rockets,,Eric Piatkowski,placed on IL with sprained left ankle
79,2003-10-27,Sonics,,Nick Collison,placed on IL recovering from surgery on shoulder
80,2003-10-27,Sonics,,Ray Allen,placed on IL with bone fragment in right ankle
81,2003-10-27,Spurs,,Alex Garcia,placed on IL with broken toe on left foot
82,2003-10-27,Spurs,,Devin Brown,placed on IL with left knee patellar tendinitis
83,2003-10-27,Spurs,,Sean Marks,placed on IL with left knee patella tendinitis
84,2003-10-27,Suns,,Robert Archibald,placed on IL with sprained toe
85,2003-10-27,Suns,,Scott Williams,placed on IL recovering from surgery on left thumb
86,2003-10-27,Timberwolves,,Troy Hudson,placed on IL with sprained right ankle
87,2003-10-27,Warriors,,Evan Eschmeyer,placed on IL with knee surgery
88,2003-10-27,Warriors,,Pepe Sanchez,placed on IL with sprained left ankle
89,2003-10-27,Warriors,,Troy Murphy,placed on IL with torn plantar fascia in right foot
90,2003-10-27,Wizards,,Jerry Stackhouse,placed on IL recovering from surgery on right knee
91,2003-10-27,Wizards,,Mitchell Butler,placed on IL with right knee tendinitis
92,2003-10-28,Lakers,,Kobe Bryant,sore right knee (DNP)
93,2003-10-28,Pistons,,Lindsey Hunter,placed on IL with strained right hamstring
94,2003-10-28,Spurs,, Tony Parker,sprained left ankle (DNP)
95,2003-10-28,Spurs,,Shane Heal,sore lower back (DNP)
96,2003-10-28,Timberwolves,,Wally Szczerbiak,sore left foot (out 2 weeks)
97,2003-10-29,Blazers,,Derek Anderson,back spasms (DNP)
98,2003-10-29,Bucks,,T.J. Ford,sore right ankle (DNP)
99,2003-10-29,Bulls,,Tyson Chandler,strained lower back (DNP)
100,2003-10-29,Celtics,,Jumaine Jones,strained bilateral hamstring (DNP)
101,2003-10-29,Hawks,,Alan Henderson,sore back (DNP)
102,2003-10-29,Heat,,Lamar Odom,sprained right ankle (DNP)
103,2003-10-29,Jazz,,Keon Clark,sprained right ankle (DNP)
104,2003-10-29,Raptors,,Michael Bradley,surgery on right knee (date approximate)
105,2003-10-29,Spurs,, Tony Parker,sprained left ankle (DNP)
106,2003-10-29,Spurs,,Shane Heal,sore lower back (DNP)
107,2003-10-29,Timberwolves,,Wally Szczerbiak,placed on IR with inflammed arch in left foot
108,2003-10-29,Warriors,,Nick Van Exel,recovering from surgery on left knee (DNP)
109,2003-10-29,Warriors,,Popeye Jones,left knee injury (DNP)
110,2003-10-30,Clippers,,Elton Brand,hairline fracture of right foot (out 4-6 weeks)
111,2003-10-30,Clippers,,Melvin Ely,subluxated left shoulder (DNP)
112,2003-10-31,Celtics,,Jumaine Jones,strained bilateral hamstring (DNP)
113,2003-10-31,Clippers,,Elton Brand,hairline fracture of right foot (DNP)
114,2003-10-31,Hawks,,Alan Henderson,sore back (DNP)
115,2003-10-31,Heat,,Samaki Walker,strained lower back (DNP)
116,2003-10-31,Nets,,Rodney Rogers,lacerated left thumb (DNP)
117,2003-10-31,Spurs,,Anthony Carter,placed on IL with knee tendinitis
118,2003-10-31,Warriors,,Mickael Pietrus,placed on IL with sprained left ankle (right ankle per SN)
119,2003-11-01,Blazers,,Derek Anderson,back spasms (DNP)
120,2003-11-01,Celtics,,Eric Williams,hamstring injury (DNP)
121,2003-11-01,Celtics,,Jumaine Jones,knee injury (DNP)
122,2003-11-01,Hawks,,Alan Henderson,sore back (DNP)
123,2003-11-01,Jazz,,Carlos Arroyo,sprained right ankle (DNP)
124,2003-11-01,Jazz,,Keon Clark,bone spurs in right ankle (DNP)
125,2003-11-01,Lakers,,Stanislav Medvedenko,foot injury (DNP)
126,2003-11-01,Magic,,Gordan Giricek,strained right arch (DNP)
127,2003-11-01,Mavericks,,Josh Howard,sprained right ankle (DNP)
128,2003-11-01,Nets,,Kenyon Martin ,sprained left ankle (DNP)
129,2003-11-01,Pacers,,Reggie Miller,sore lower back (DNP)
130,2003-11-01,Sonics,,Ray Allen,arthroscopic surgery on right ankle to remove bone fragment (out indefinitely)
131,2003-11-01,Spurs,, Tony Parker,sprained left ankle (DNP)
132,2003-11-01,Warriors,,Nick Van Exel,recovering from surgery on left knee (DNP)
133,2003-11-02,Lakers,,Stanislav Medvedenko,bruised left heel (DNP)
134,2003-11-02,Warriors,,Nick Van Exel,recovering from surgery on left knee (DNP)
135,2003-11-03,Bulls,,Scottie Pippen,swollen left knee (DNP)
136,2003-11-03,Hawks,,Alan Henderson,sore back (DNP)
137,2003-11-03,Heat,,Dwyane Wade,right hip pointer (DNP)
138,2003-11-03,Heat,,Eddie Jones,strained right calf (DNP)
139,2003-11-03,Heat,,Samaki Walker,placed on IL with sore right shoulder
140,2003-11-03,Hornets,,Jamal Mashburn,arthroscopic surgery on right knee to remove loose debris (out 6-8 weeks)
141,2003-11-03,Jazz,,Carlos Arroyo,sprained right ankle (DNP)
142,2003-11-03,Magic,,Gordan Giricek,strained right arch (DNP)
143,2003-11-03,Mavericks,,Josh Howard,sprained right ankle (DNP)
144,2003-11-03,Spurs,, Tony Parker,sprained left ankle (DNP)
145,2003-11-04,Bucks,,Brian Skinner,placed on IL with arthroscopic surgery on left knee
146,2003-11-04,Cavaliers,,Dajuan Wagner,surgery on right knee (out 8-12 weeks)
147,2003-11-04,Heat,,Dwyane Wade,left hip pointer (DNP)
148,2003-11-04,Lakers,,Stanislav Medvedenko,bruised left knee (DNP)
149,2003-11-04,Nets,,Kenyon Martin ,sprained left ankle (DNP)
150,2003-11-04,Nets,,Rodney Rogers,lacerated left thumb (DNP)
151,2003-11-04,Spurs,, Tony Parker,sprained left ankle (DNP)
152,2003-11-04,Spurs,,Tim Duncan,sprained left ankle (DNP)
153,2003-11-05,Blazers,,Derek Anderson,lower back spasms (DNP)
154,2003-11-05,Blazers,,Ruben Patterson,placed on IL with left Achilles tendinitis
155,2003-11-05,Bulls,,Scottie Pippen,sore left knee (DNP)
156,2003-11-05,Celtics,,Eric Williams,bone bruise in right knee (DNP)
157,2003-11-05,Hawks,,Alan Henderson,sore back (DNP)
158,2003-11-05,Magic,,Gordan Giricek,strained right arch (DNP)
159,2003-11-05,Pistons,,Zeljko Rebraca,flu (DNP)
160,2003-11-05,Warriors,,Adonal Foyle,arthroscopic surgery on left knee (date approximate)
161,2003-11-05,Warriors,,Adonal Foyle,stiff left knee (DNP)
162,2003-11-05,Warriors,,Popeye Jones,surgery on left knee to repair torn cartilage (out 6+ weeks)
163,2003-11-05,Warriors,,Popeye Jones,recovering from surgery on left knee (DNP)
164,2003-11-06,Heat,,Malik Allen,surgery on right foot (out 6-8 weeks)
165,2003-11-06,Lakers,,Stanislav Medvedenko,bruised left heel (DNP)
166,2003-11-06,Mavericks,,Steve Nash,strained left shoulder (DNP)
167,2003-11-06,Nets,,Kenyon Martin ,sprained left ankle (DNP)
168,2003-11-06,Nets,,Rodney Rogers,dislocated left thumb (DNP)
169,2003-11-06,Spurs,, Tony Parker,sprained left ankle (DNP)
170,2003-11-06,Spurs,,Tim Duncan,sprained left ankle (DNP)
171,2003-11-07,Blazers,,Derek Anderson,placed on IL with back spasms
172,2003-11-07,Bulls,,Marcus Fizer,placed on IL with right knee inflammation
173,2003-11-07,Bulls,,Roger Mason Jr.,placed on IL with strained left groin
174,2003-11-07,Bulls,,Scottie Pippen,sore left knee (DNP)
175,2003-11-07,Bulls,Kirk Hinrich,,activated from IL
176,2003-11-07,Bulls,Linton Johnson III,,activated from IL
177,2003-11-07,Celtics,,Eric Williams,hyperextended right knee (DNP)
178,2003-11-07,Clippers,,Elton Brand,hairline fracture of right foot (DNP)
179,2003-11-07,Heat,,Malik Allen,placed on IL recovering from surgery on right foot
180,2003-11-07,Heat,Caron Butler,,activated from IL
181,2003-11-07,Jazz,,Keon Clark,right foot injury (DNP)
182,2003-11-07,Lakers,,Stanislav Medvedenko,bruised left heel (DNP)
183,2003-11-07,Magic,,Britton Johnsen,placed on IL with left knee patella tendinitis
184,2003-11-07,Magic,,Britton Johnson,placed on IL
185,2003-11-07,Magic,,Gordan Giricek,placed on IL with strained right arch
186,2003-11-07,Magic,Keith Bogans,,activated from IL
187,2003-11-07,Magic,Pat Garrity,,activated from IL
188,2003-11-07,Nets,,Brian Scalabrine,strained hip flexor (DNP)
189,2003-11-07,Nets,,Kenyon Martin ,strained left ankle (DNP)
190,2003-11-07,Nets,,Rodney Rogers,placed on IL with lacerated left hand
191,2003-11-07,Nets,Tamar Slay,,activated from IL
192,2003-11-07,Warriors,,Adonal Foyle,recovering from surgery on left knee (DNP)
193,2003-11-07,Warriors,,Popeye Jones,recovering from surgery on left knee (DNP)
194,2003-11-08,Blazers,Travis Outlaw,,activated from IL
195,2003-11-08,Bulls,,Scottie Pippen,sore left knee (DNP)
196,2003-11-08,Bulls,,Tyson Chandler,bruised lower back (DNP)
197,2003-11-08,Cavaliers,Ira Newble,,activated from IL
198,2003-11-08,Grizzlies,,Shane Battier,right knee injury (DNP)
199,2003-11-08,Grizzlies,,Troy Bell,placed on IL with left knee tendinitis
200,2003-11-08,Grizzlies,Theron Smith,,activated from IL
201,2003-11-08,Hawks,,Alan Henderson,placed on IL with sore back
202,2003-11-08,Hawks,Dan Dickau,,activated from IL
203,2003-11-08,Jazz,,Keon Clark,placed on IL with bone spurs in right ankle
204,2003-11-08,Jazz,Curtis Borchardt,,activated from IL
205,2003-11-08,Spurs,, Tony Parker,sprained left ankle (DNP)
206,2003-11-08,Spurs,,Ron Mercer,placed on IR with left peroneal synovitis
207,2003-11-08,Spurs,,Tim Duncan,sprained left ankle (DNP)
208,2003-11-08,Spurs,Devin Brown,,activated from IL
209,2003-11-09,76ers,,Kenny Thomas,bruised lower back (DNP)
210,2003-11-09,Nets,,Brian Scalabrine,strained hip flexor (DNP)
211,2003-11-09,Nets,,Kenyon Martin ,sprained left ankle (DNP)
212,2003-11-09,Nuggets,,Voshon Lenard,sprained left ankle (DNP)
213,2003-11-09,Pistons,,Chucky Atkins,placed on IL with strained left knee
214,2003-11-09,Pistons,Lindsey Hunter,,activated from IL
215,2003-11-09,Raptors,,Chris Jefferies,placed on IL with strained lower back
216,2003-11-09,Raptors,Rick Brunson,,activated from IL
217,2003-11-10,Bulls,,Tyson Chandler,bruised lower back (DNP)
218,2003-11-10,Nuggets,,Voshon Lenard,sprained left ankle (DNP)
219,2003-11-10,Suns,,Zarko Cabarkapa,sprained right ankle (DNP)
220,2003-11-10,Warriors,,Adonal Foyle,recovering from surgery on left knee (DNP)
221,2003-11-10,Warriors,,Popeye Jones,recovering from surgery on left knee (DNP)
222,2003-11-11,76ers,,Glenn Robinson ,sprained left ankle (DNP)
223,2003-11-11,76ers,,Kenny Thomas,bruised lower back (DNP)
224,2003-11-11,Clippers,,Elton Brand,hairline fracture of right foot (DNP)
225,2003-11-11,Mavericks,,Tony Delk,strained left hamstring (DNP)
226,2003-11-11,Pistons,,Ben Wallace,sprained left ankle (DNP)
227,2003-11-12,Bulls,,Corie Blount,sprained right ankle (DNP)
228,2003-11-12,Bulls,,Tyson Chandler,bruised lower back (DNP)
229,2003-11-12,Cavaliers,,Michael Stewart,placed on IL with right knee tendinitis
230,2003-11-12,Cavaliers,Bruno Sundov,,activated from IL
231,2003-11-12,Lakers,,Stanislav Medvedenko,bruised left heel (DNP)
232,2003-11-12,Magic,,Pat Garrity,sore right knee (DNP)
233,2003-11-12,Nets,,Brian Scalabrine,strained hip flexor (DNP)
234,2003-11-12,Warriors,,Adonal Foyle,recovering from surgery on left knee (DNP)
235,2003-11-12,Warriors,,Jason Richardson,sprained left ankle (DNP)
236,2003-11-12,Warriors,,Popeye Jones,placed on IL recovering from surgery on left knee
237,2003-11-12,Warriors,Mickael Pietrus,,activated from IL
238,2003-11-12,Warriors,,Mickael Pietrus,sprained left ankle (DNP)
239,2003-11-13,Bulls,,Tyson Chandler,bruised lower back (DNP)
240,2003-11-14,76ers,,Derrick Coleman,strained left knee (DNP)
241,2003-11-14,76ers,,Glenn Robinson ,sprained left ankle (DNP)
242,2003-11-14,76ers,,Kenny Thomas,bruised lower back (DNP)
243,2003-11-14,Celtics,,Raef LaFrentz,placed on IL with right knee tendinitis
244,2003-11-14,Celtics,Kendrick Perkins,,activated from IL
245,2003-11-14,Clippers,,Elton Brand,hairline fracture of right foot (DNP)
246,2003-11-14,Lakers,,Stanislav Medvedenko,placed on IL with bruised left heel
247,2003-11-14,Lakers,Jamal Sampson,,activated from IL
248,2003-11-14,Magic,,Pat Garrity,right knee injury (DNP)
249,2003-11-14,Warriors,,Adonal Foyle,recovering from surgery on left knee (DNP)
250,2003-11-14,Warriors,,Mickael Pietrus,sprained left ankle (DNP)
251,2003-11-15,76ers,,Derrick Coleman,strained left knee (DNP)
252,2003-11-15,76ers,,Glenn Robinson ,strained left knee (DNP)
253,2003-11-15,76ers,,Kenny Thomas,bruised lower back (DNP)
254,2003-11-15,Bulls,,Jamal Crawford,sprained neck (DNP)
255,2003-11-15,Clippers,,Elton Brand,placed on IR with hairline fracture of right foot
256,2003-11-15,Clippers,Glen Rice ,,activated from IL
257,2003-11-15,Magic,,Pat Garrity,right knee injury (DNP)
258,2003-11-15,Magic,,Shammond Williams,sprained left knee (DNP)
259,2003-11-15,Mavericks,,Tony Delk,strained left hamstring (DNP)
260,2003-11-15,Pacers,,Jamaal Tinsley,ill (DNP)
261,2003-11-16,Magic,,Pat Garrity,placed on IL with right knee injury
262,2003-11-16,Magic,,Shammond Williams,placed on IL with sprained left knee
263,2003-11-16,Magic,Gordan Giricek,,activated from IL
264,2003-11-16,Warriors,,Adonal Foyle,recovering from surgery on left knee (DNP)
265,2003-11-16,Warriors,,Mickael Pietrus,sprained left ankle (DNP)
266,2003-11-16,Warriors,,Nick Van Exel,sore left knee (DNP)
267,2003-11-17,76ers,,Derrick Coleman,strained left knee (DNP)
268,2003-11-17,76ers,,Glenn Robinson ,sprained left ankle (DNP)
269,2003-11-17,Mavericks,,Shawn Bradley,sprained left knee (DNP)
270,2003-11-17,Mavericks,,Tony Delk,strained left hamstring (DNP)
271,2003-11-17,Wizards,,Christian Laettner,back spasms (DNP)
272,2003-11-18,Bulls,,Jamal Crawford,sprained neck (DNP)
273,2003-11-18,Bulls,,Linton Johnson III,placed on IL with sprained right ankle
274,2003-11-18,Bulls,Marcus Fizer,,activated from IL
275,2003-11-18,Nets,,Tamar Slay,placed on IR with sprained right groin
276,2003-11-18,Nets,Rodney Rogers,,activated from IL
277,2003-11-18,Nuggets,,Nene Hilario ,strained left groin (DNP)
278,2003-11-18,Pistons,,Zeljko Rebraca,placed on IL with back spasms
279,2003-11-18,Pistons,Darvin Ham,,activated from IL
280,2003-11-18,Spurs,,Sean Marks,placed on IL with left knee tendinitis
281,2003-11-18,Spurs,Anthony Carter,,activated from IL
282,2003-11-18,Suns,,Cezary Trybanski,placed on IL with back spasms
283,2003-11-18,Suns,,Jahidi White,finger injury (DNP)
284,2003-11-18,Suns,Scott Williams,,activated from IL
285,2003-11-18,Warriors,,Adonal Foyle,recovering from surgery on left knee (DNP)
286,2003-11-19,76ers,,Allen Iverson,bruised right knee (DNP)
287,2003-11-19,76ers,,Derrick Coleman,strained left knee (DNP)
288,2003-11-19,76ers,,Glenn Robinson ,sprained left ankle (DNP)
289,2003-11-19,Blazers,,Travis Outlaw,placed on IL with patellar tendinitis in both knees
290,2003-11-19,Blazers,Ruben Patterson,,activated from IL
291,2003-11-19,Cavaliers,,Carlos Boozer,sprained right ankle (DNP)
292,2003-11-19,Clippers,,Marko Jaric,partially torn muscle in left foot (DTD)
293,2003-11-19,Clippers,,Marko Jaric,partially torn muscle in left foot (DNP)
294,2003-11-19,Heat,,Jerome Beasley,placed on IL with strained lower back
295,2003-11-19,Heat,Samaki Walker,,activated from IL
296,2003-11-19,Jazz,,Keon Clark,surgery on right ankle to remove bone spurs (out 6 weeks) (date approximate)
297,2003-11-19,Kings,,Gerald Wallace,sprained left knee (DNP)
298,2003-11-19,Knicks,,Keith Van Horn,sprained right ankle (DNP)
299,2003-11-19,Nuggets,,Nene Hilario ,strained left groin (DNP)
300,2003-11-19,Pacers,,Jermaine O'Neal,knee tendinitis (DNP)
301,2003-11-19,Warriors,,Adonal Foyle,recovering from surgery on left knee (DNP)
302,2003-11-19,Warriors,,Mickael Pietrus,sprained left ankle (DNP)
303,2003-11-19,Warriors,,Nick Van Exel,sore left knee (DNP)
304,2003-11-19,Wizards,,Christian Laettner,back spasms (DNP)
305,2003-11-20,Mavericks,,Tony Delk,strained left hamstring (DNP)
306,2003-11-21,76ers,,Derrick Coleman,strained left knee (DNP)
307,2003-11-21,76ers,,Glenn Robinson ,sprained left ankle (DNP)
308,2003-11-21,Cavaliers,,Carlos Boozer,sprained right ankle (DNP)
309,2003-11-21,Grizzlies,,Theron Smith,placed on IL with back spasms
310,2003-11-21,Grizzlies,Dahntay Jones,,activated from IL
311,2003-11-21,Kings,,Gerald Wallace,sprained left knee (DNP)
312,2003-11-21,Knicks,,Keith Van Horn,sprained right ankle (DNP)
313,2003-11-21,Nuggets,,Nene Hilario ,strained left groin (DNP)
314,2003-11-21,Warriors,,Adonal Foyle,recovering from surgery on left knee (DNP)
315,2003-11-21,Warriors,,Nick Van Exel,left knee injury (DNP)
316,2003-11-22,76ers,,Derrick Coleman,sprained left knee (DNP)
317,2003-11-22,76ers,,Glenn Robinson ,sprained left ankle (DNP)
318,2003-11-22,Cavaliers,,Carlos Boozer,sprained right ankle (DNP)
319,2003-11-22,Clippers,,Marko Jaric,torn plantar fascia in left foot (DNP)
320,2003-11-22,Knicks,,Allan Houston,sore lower back (DNP)
321,2003-11-22,Knicks,,Keith Van Horn,sprained right ankle (DNP)
322,2003-11-22,Nets,,Jason Kidd,sore left knee (DNP)
323,2003-11-22,Nuggets,,Nene Hilario ,strained left groin (DNP)
324,2003-11-22,Timberwolves,,Michael Olowokandi,right knee tendinitis (DNP)
325,2003-11-23,Bucks,,Erick Strickland,bruised left thigh (DNP)
326,2003-11-23,Kings,,Gerald Wallace,sprained left knee (DNP)
327,2003-11-23,Lakers,,Jamal Sampson,placed on IL with back spasms
328,2003-11-23,Lakers,,Shaquille O'Neal,strained right calf (DNP)
329,2003-11-23,Lakers,Stanislav Medvedenko,,activated from IL
330,2003-11-23,Warriors,,Adonal Foyle,recovering from surgery on left knee (DNP)
331,2003-11-23,Warriors,,Cherokee Parks,bruised chest (DNP)
332,2003-11-23,Warriors,,Nick Van Exel,sore left knee (DNP)
333,2003-11-24,Clippers,,Marko Jaric,left foot injury (DNP)
334,2003-11-24,Knicks,,Allan Houston,sore lower back (DNP)
335,2003-11-24,Knicks,,Keith Van Horn,sprained right ankle (DNP)
336,2003-11-24,Magic,,Tracy McGrady,flu (DNP)
337,2003-11-24,Nets,,Alonzo Mourning,retired
338,2003-11-24,Pistons,,Richard Hamilton,strained neck (DNP)
339,2003-11-24,Rockets,,Mike Wilks,placed on IL with bruised right shoulder
340,2003-11-24,Rockets,Eric Piatkowski,,activated from IL
341,2003-11-25,76ers,,Glenn Robinson ,placed on IL with sprained left ankle
342,2003-11-25,76ers,Greg Buckner,,activated from IL
343,2003-11-25,Bucks,,Joel Przybilla,stomach virus (DNP)
344,2003-11-25,Heat,,Caron Butler,left quadricep injury (DNP)
345,2003-11-25,Heat,,Tyrone Hill,stiff neck & shoulder (DNP)
346,2003-11-25,Kings,,Gerald Wallace,sprained left knee (DNP)
347,2003-11-25,Nets,,Alonzo Mourning,placed on IL with kidney disorder
348,2003-11-25,Nets,Lucious Harris,,activated from IL
349,2003-11-25,Nuggets,,Nene Hilario ,strained left groin (DNP)
350,2003-11-25,Spurs,,Anthony Carter,placed on IL with left knee tendinitis
351,2003-11-25,Spurs,Ron Mercer,,activated from IL
352,2003-11-25,Timberwolves,,Michael Olowokandi,right knee tendinitis (DNP)
353,2003-11-25,Wizards,,Gilbert Arenas,placed on IL with abdominal strain
354,2003-11-26,Bulls,,Scottie Pippen,left eye injury (DNP)
355,2003-11-26,Bulls,,Tyson Chandler,sore lower back (DNP)
356,2003-11-26,Hawks,,Stephen Jackson,sprained left ankle (DNP)
357,2003-11-26,Jazz,,Carlos Arroyo,sprained left ankle (DNP)
358,2003-11-26,Knicks,,Keith Van Horn,sprained right ankle (DNP)
359,2003-11-26,Lakers,,Shaquille O'Neal,strained right calf (DNP)
360,2003-11-26,Suns,,Shawn Marion,sprained left ankle (DNP)
361,2003-11-26,Suns,,Zarko Cabarkapa,fractured right wrist (out 6-8 weeks)
362,2003-11-26,Timberwolves,,Mark Madsen,back spasms (DNP)
363,2003-11-26,Timberwolves,,Michael Olowokandi,right knee tendinitis (DNP)
364,2003-11-27,Knicks,,Keith Van Horn,sprained right ankle (DNP)
365,2003-11-27,Pacers,,Jamaal Tinsley,sore lower back (DNP)
366,2003-11-28,76ers,,Derrick Coleman,strained left knee (DNP)
367,2003-11-28,Bucks,,Tim Thomas,sprained left ankle (DNP)
368,2003-11-28,Cavaliers,,Bruno Sundov,placed on IL with bruised right wrist
369,2003-11-28,Cavaliers,,Carlos Boozer,sprained right ankle (DNP)
370,2003-11-28,Cavaliers,Michael Stewart,,activated from IL
371,2003-11-28,Celtics,,Kendrick Perkins,placed on IR with bilateral infraptellar tendinitis
372,2003-11-28,Celtics,Raef LaFrentz,,activated from IL
373,2003-11-28,Grizzlies,,Lorenzen Wright,sprained right ankle (DNP)
374,2003-11-28,Heat,,Caron Butler,left quadricep injury (DNP)
375,2003-11-28,Heat,,Tyrone Hill,right shoulder injury (DNP)
376,2003-11-28,Jazz,,Carlos Arroyo,sprained left ankle (DNP)
377,2003-11-28,Kings,,Gerald Wallace,sprained left ankle (DNP)
